region,category,cont_video
Canada                   ,Entertainment            ,13451
Denmark                  ,Entertainment            ,15292
France                   ,Entertainment            ,9819
Great Britain            ,Music                    ,13700
India                    ,Entertainment            ,14764
Japan                    ,Entertainment            ,4454
Korea                    ,Entertainment            ,8379
Mexico                   ,Entertainment            ,13474
Russia                   ,People & Blogs           ,10340
United States            ,Entertainment            ,9944
